analysis_id,dataset,cross_label,intersectional,model,mitigation,seed,accuracy,attr_a_abs_spd,attr_a_abs_eod,attr_b_abs_spd,attr_b_abs_eod,max_marginal_abs_spd,max_marginal_abs_eod,subgroup_pr_range,subgroup_tpr_range,subgroup_fpr_range,n_subgroup_cells,min_cell_n,runtime_seconds,status
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,42,0.8475356978350991,0.1719635925122615,0.07103051747014588,0.17918276867166472,0.07052593432542698,0.17918276867166472,0.07103051747014588,0.28324209419871776,0.18432971014492755,0.12457902950900467,4,978,0.1520778999999992,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,43,0.8515277138031629,0.15730082149751684,0.055893279297534626,0.16899385567780523,0.05118914656418283,0.16899385567780523,0.055893279297534626,0.2691752244397081,0.0757575757575758,0.1027613608018611,4,975,0.13588509999999943,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,44,0.8518347919545525,0.18458882382695618,0.14561550982114468,0.18356007850070016,0.02423706324635111,0.18458882382695618,0.14561550982114468,0.3009598527195242,0.15097345132743367,0.1182445992752933,4,1022,0.14418129999999962,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,45,0.8464609243052357,0.17485207284353613,0.09900821398145021,0.17129191342125272,0.02413140138304637,0.17485207284353613,0.09900821398145021,0.2812687629012704,0.12806372549019612,0.11375661375661375,4,1013,0.1174571000000002,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,46,0.8499923230462153,0.1781604583556533,0.10878357887344176,0.16863175856322435,0.06643507914694358,0.1781604583556533,0.10878357887344176,0.277342939696072,0.14904776074988835,0.1015963970990609,4,1022,0.1411435000000001,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,47,0.8476892369107938,0.1717816918348256,0.06556968337073044,0.1783926962117379,0.08103068589156259,0.1783926962117379,0.08103068589156259,0.28118948471534033,0.10122164048865623,0.11142280071813286,4,1002,0.11424470000000042,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,48,0.8527560264087211,0.17722156410726234,0.12761408754078857,0.1845458465289858,0.0012838923812875658,0.1845458465289858,0.12761408754078857,0.29633366533828714,0.1397712946357228,0.11768660602639941,4,989,0.14116090000000003,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,49,0.8446184553968985,0.14098422450434822,0.042901371074745676,0.17860180344875864,0.043663440059568126,0.17860180344875864,0.043663440059568126,0.2629897201336291,0.06534090909090917,0.09970991014508332,4,965,0.10909659999999999,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,50,0.8484569322892677,0.17395010955543658,0.10088653360408106,0.17938147170877222,0.047551060280436985,0.17938147170877222,0.10088653360408106,0.29135380748283973,0.12040422371078074,0.11970221819038795,4,1001,0.1382027000000008,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,51,0.855980346998311,0.18096354042119023,0.09241335622718261,0.18441339320147648,0.05067729285743727,0.18441339320147648,0.09241335622718261,0.2988090719535459,0.10661300505050508,0.11229847046831144,4,1022,0.11524110000000043,success
