analysis_id,dataset,cross_label,intersectional,model,mitigation,seed,accuracy,attr_a_abs_spd,attr_a_abs_eod,attr_b_abs_spd,attr_b_abs_eod,max_marginal_abs_spd,max_marginal_abs_eod,subgroup_pr_range,subgroup_tpr_range,subgroup_fpr_range,n_subgroup_cells,min_cell_n,runtime_seconds,status
bank_age_job,bank_uci,age_group x job_group,False,logistic_regression,baseline,42,0.9014323865015781,0.047991465540633466,0.0743489828276585,0.01172338638915359,0.03753049177885781,0.047991465540633466,0.0743489828276585,0.06333202366839959,0.1575100806451613,0.03212341444398808,4,733,0.2623117999999991,success
bank_age_job,bank_uci,age_group x job_group,False,logistic_regression,baseline,43,0.9013109978150037,0.047153006861348816,0.08882113821138213,0.009602336021789282,0.01937132634807054,0.047153006861348816,0.08882113821138213,0.05562817466541955,0.12365894974590624,0.022137860846808716,4,744,0.3010219999999961,success
bank_age_job,bank_uci,age_group x job_group,False,logistic_regression,baseline,44,0.8998543335761107,0.05967810339410284,0.08676981765309794,0.015959411465303462,0.06506024096385543,0.05967810339410284,0.08676981765309794,0.07662552679108971,0.16345381526104416,0.03608474195156765,4,725,0.2571474000000009,success
bank_age_job,bank_uci,age_group x job_group,False,logistic_regression,baseline,45,0.8992473901432386,0.05466939985022584,0.12667947267321003,0.00445586346378353,0.005044300498845938,0.05466939985022584,0.12667947267321003,0.07006919512398765,0.15681991540115112,0.026756358548724154,4,736,0.24497869999999722,success
bank_age_job,bank_uci,age_group x job_group,False,logistic_regression,baseline,46,0.9000971109492595,0.05466233056158615,0.09347434085481751,0.010454422089798812,0.03174159527835618,0.05466233056158615,0.09347434085481751,0.0711737049244593,0.15974184014950674,0.03308488388492723,4,725,0.2359328000000005,success
bank_age_job,bank_uci,age_group x job_group,False,logistic_regression,baseline,47,0.8958485069191552,0.05023546068412646,0.0777043917585454,0.013537860985634913,0.042849767681982454,0.05023546068412646,0.0777043917585454,0.06259049804660821,0.1216873706004141,0.0322042451906419,4,747,0.23586600000000146,success
bank_age_job,bank_uci,age_group x job_group,False,logistic_regression,baseline,48,0.8988832240835154,0.05729838620830585,0.09717868338557992,0.00608989310995274,0.008324340989671664,0.05729838620830585,0.09717868338557992,0.06808238558705598,0.11931818181818182,0.03348267801899391,4,713,0.2384245000000078,success
bank_age_job,bank_uci,age_group x job_group,False,logistic_regression,baseline,49,0.9011896091284293,0.04854007816177396,0.06109845898888408,0.01469067205464954,0.038345988387127106,0.04854007816177396,0.06109845898888408,0.0639274954591196,0.11936612965093976,0.026681032550215207,4,778,0.26117600000000607,success
bank_age_job,bank_uci,age_group x job_group,False,logistic_regression,baseline,50,0.9021607186210245,0.05519572778027214,0.08294014345259504,0.014169234150777504,0.054398228894873196,0.05519572778027214,0.08294014345259504,0.07884129263779753,0.1430817610062893,0.03733820266700785,4,750,0.2514493000000044,success
bank_age_job,bank_uci,age_group x job_group,False,logistic_regression,baseline,51,0.8976693372177713,0.04661930734159421,0.08535752812853398,0.005087058979093569,0.02982925515114357,0.04661930734159421,0.08535752812853398,0.0648124704350844,0.16101311623699685,0.022932242203812223,4,705,0.20734319999999684,success
bank_age_job,bank_uci,age_group x job_group,False,logistic_regression,baseline,52,0.9003398883224083,0.04252157030268768,0.03595570720401725,0.01070752518113241,0.05095896520963428,0.04252157030268768,0.05095896520963428,0.05916827847880213,0.0902363618230777,0.029683740497287003,4,673,0.18114700000000994,success
