analysis_id,dataset,cross_label,intersectional,model,n_seeds,mean_accuracy,mean_max_marginal_abs_spd,mean_max_marginal_abs_eod,mean_subgroup_pr_range,mean_subgroup_tpr_range,mean_min_cell_n,min_cell_n_overall
adult_sex_race,adult,sex x race,True,logistic_regression,30,0.8489124315471621,0.1684861953936376,0.09598550525923134,0.20659310806961453,0.16633552711159838,424.7,395
adult_sex_race,adult,sex x race,True,xgboost,30,0.8677107323813911,0.17524104981217511,0.0914664749157453,0.2136925911219523,0.16329158026210394,424.7,395
adult_sex_age,adult,sex x age_group,True,logistic_regression,30,0.8489124315471621,0.17578974786892543,0.08881328926557264,0.27981382930139204,0.12211049578167309,995.1333333333333,940
adult_sex_age,adult,sex x age_group,True,xgboost,30,0.8677107323813911,0.18694006470666152,0.09421298010286147,0.29543730275232705,0.13272501675302253,995.1333333333333,940
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,30,0.7706633333333334,0.21793521359668197,0.13839808456770206,0.2469812931956577,0.2032969761760411,1858.9,1792
acs_sex_age,acs_income,sex x age_group,False,xgboost,30,0.81414,0.20937613199244026,0.10340403160633015,0.28616895516042284,0.13884767772959344,1858.9,1792
bank_age_job,bank_uci,age_group x job_group,False,logistic_regression,30,0.900101157238812,0.05259684954420642,0.08689161353508315,0.06945607678926245,0.14525468017682394,735.2333333333333,673
bank_age_job,bank_uci,age_group x job_group,False,xgboost,30,0.9005057861940601,0.06920097542860898,0.1134846610193749,0.09752828214175856,0.20488966137334938,735.2333333333333,673
