model,n_seeds,mean_accuracy,mean_max_marginal_abs_spd,mean_max_marginal_abs_eod,mean_intersectional_pr_range,mean_intersectional_tpr_range,mean_intersectional_fpr_range,mean_min_cell_n
logistic_regression,30,0.8489124315471621,0.16848619539363766,0.09598550525923139,0.20659310806961456,0.16633552711159844,0.0795476369125756,424.7
xgboost,30,0.8677107323813911,0.17524104981217517,0.09146647491574536,0.21369259112195232,0.16329158026210397,0.07049021080959607,424.7
