dataset,protected_attribute,constraint,n,mean_accuracy,mean_abs_spd,mean_abs_eod,mean_cfs,mean_runtime_s
acs_income_ca_2018,age_group,DP,2,0.7611000000000001,0.05539515872946041,0.023917897428299695,[0.24614374],10.256763949999998
acs_income_ca_2018,age_group,EO,2,0.8069999999999999,0.1673144602608168,0.06493319100009909,[0.2308784],18.908760700000002
adult,sex,DP,2,0.8499923230462153,0.014352960738923337,0.33157714373543373,[0.36173425],21.42456279999999
adult,sex,EO,2,0.8658836173806234,0.11632479171539786,0.04453990629473137,[0.15979107],23.55743960000001
bank_uci,age_group,DP,2,0.8992473901432386,0.02212168706649572,0.026874187368758212,[0.06057807],16.966760750000006
bank_uci,age_group,EO,2,0.9021607186210245,0.04119612026898996,0.024698434198472202,[0.07879919],19.664930249999998
