dataset,protected_attribute,model,constraint,mitigation,seed,accuracy,abs_spd,abs_eod,cfs,runtime_seconds,status,error
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,46,0.8044,0.17519168166934757,0.049257919695875896,[0.22404503],49.02300319999995,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,47,0.8043,0.15697982888863238,0.050848608282416885,[0.22584343],58.89836429999991,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,48,0.8069,0.17855227662287682,0.06121963367538019,[0.22862703],52.03960340000003,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,49,0.8066,0.1602198272067608,0.06892244973814055,[0.23168532],43.14801659999989,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,50,0.8066,0.16985432913479076,0.074085652704039,[0.23215195],59.197114400000146,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,51,0.8097,0.14533016659212228,0.03548937877538283,[0.22151423],45.23694990000013,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,52,0.8041,0.16135223468603893,0.0564976335361731,[0.22767869],45.35120889999985,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,53,0.7936,0.1602454188569481,0.04720772298632081,[0.22729614],53.21351660000005,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,54,0.8058,0.15449702014388106,0.0451995345867513,[0.22565489],57.561193499999945,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,55,0.7992,0.17249560890543325,0.056187195755741604,[0.2281246],40.916683699999794,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,56,0.8043,0.1676747525000417,0.07150156686033549,[0.23206723],68.78941840000016,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,57,0.8032,0.15209568838273346,0.031546155203859505,[0.2216568],50.051872900000035,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,58,0.8004,0.15543336422361775,0.03557261698683134,[0.22345112],89.18641409999964,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,59,0.801,0.15788678119684302,0.03627909060961898,[0.22018122],53.588883500000065,success,
