dataset,protected_attribute,constraint,n,mean_accuracy,mean_abs_spd,mean_abs_eod,mean_cfs,mean_runtime_s
acs_income_ca_2018,age_group,DP,30,0.75874,0.05027964573071404,0.01551590382979092,[0.24652815],17.36736337333333
acs_income_ca_2018,age_group,EO,30,0.8042766666666666,0.16006115823628717,0.04973404867723481,[0.22617845],50.64106943666662
adult,sex,DP,30,0.8494651722196632,0.016933819199835776,0.30940516229906645,[0.35083599],33.61839581666662
adult,sex,EO,30,0.8639899687803879,0.12145831202737437,0.031784647666566454,[0.15250164],46.13983899333325
bank_uci,age_group,DP,30,0.8982520029133284,0.02421414324555133,0.02236039994717728,[0.07029804],31.708055053333435
bank_uci,age_group,EO,30,0.8996520190984867,0.04643754410018776,0.04922101900033103,[0.13930907],40.28050361000002
