analysis,dataset,protected_attribute,model,mitigation,config_id,config_label,seed,accuracy,f1,abs_spd,abs_eod,cfs,runtime_seconds,status,error,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,rank_accuracy_desc,rank_cfs_asc,delta_accuracy_vs_default,delta_cfs_vs_default
optional_tuning_sensitivity,adult,sex,xgboost,baseline,default,default (main-grid),62,0.8639643789344388,0.6908583391486391,0.18152635215475016,0.08852486142136173,0.1618503480776756,0.8058979999999991,success,,200,5,0.1,0.9,0.9,2.0,3.0,0.0,0.0
optional_tuning_sensitivity,adult,sex,xgboost,baseline,default,default (main-grid),63,0.8707200982650084,0.700355871886121,0.17614870789293285,0.12656541672266775,0.172733969828666,0.778780900000001,success,,200,5,0.1,0.9,0.9,2.0,3.0,0.0,0.0
optional_tuning_sensitivity,adult,sex,xgboost,baseline,default,default (main-grid),64,0.8699524028865346,0.7029112592072957,0.17161713649643778,0.08251882371803598,0.16280089588909458,0.7063114999999982,success,,200,5,0.1,0.9,0.9,2.0,4.0,0.0,0.0
optional_tuning_sensitivity,adult,sex,xgboost,baseline,default,default (main-grid),65,0.8645785352372178,0.6911764705882353,0.16811040003297756,0.08746331236897276,0.16592916070876287,1.0024768999999978,success,,200,5,0.1,0.9,0.9,1.0,4.0,0.0,0.0
optional_tuning_sensitivity,adult,sex,xgboost,baseline,default,default (main-grid),66,0.8679563949025026,0.6965419901199718,0.17213353303945972,0.04799336215555261,0.147035393170853,0.8925411000000025,success,,200,5,0.1,0.9,0.9,1.0,2.0,0.0,0.0
optional_tuning_sensitivity,adult,sex,xgboost,baseline,default,default (main-grid),67,0.8659603869184708,0.6950750960530911,0.16987889622242064,0.054818015187221736,0.15322892762565846,0.7881067000000002,success,,200,5,0.1,0.9,0.9,3.0,2.0,0.0,0.0
optional_tuning_sensitivity,adult,sex,xgboost,baseline,default,default (main-grid),68,0.8665745432212498,0.6941217881027807,0.1787852833794643,0.07184302947014809,0.15478837884021168,1.2210083999999988,success,,200,5,0.1,0.9,0.9,1.0,1.0,0.0,0.0
optional_tuning_sensitivity,adult,sex,xgboost,baseline,default,default (main-grid),69,0.8710271764163979,0.7064989517819706,0.16694194197921214,0.06857758996796426,0.15993583342676498,0.7151205999999988,success,,200,5,0.1,0.9,0.9,1.0,4.0,0.0,0.0
optional_tuning_sensitivity,adult,sex,xgboost,baseline,default,default (main-grid),70,0.8668816213726394,0.6961093585699264,0.18421936120047808,0.15110807824787165,0.1818036269455665,0.9367030000000014,success,,200,5,0.1,0.9,0.9,1.0,3.0,0.0,0.0
optional_tuning_sensitivity,adult,sex,xgboost,baseline,default,default (main-grid),71,0.8688776293566712,0.6982332155477031,0.17042810609585854,0.049258482801459724,0.14893300509755736,0.7324805000000012,success,,200,5,0.1,0.9,0.9,1.0,4.0,0.0,0.0
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",42,0.8613542146476278,0.6743598990263253,0.16813929358224283,0.09867315347191508,0.16184291697123543,0.8393802000000008,success,,300,3,0.05,0.9,0.9,4.0,4.0,-0.0009212344541685846,0.006015508007415182
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",43,0.8674957776754184,0.6839985353350421,0.14637384099237158,0.047787909490037084,0.14889173543615083,0.8359522000000013,success,,300,3,0.05,0.9,0.9,4.0,4.0,-0.005373867649316688,0.0008595410099458967
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",44,0.8653462306156917,0.6850987432675045,0.17284081069263807,0.14519363664125978,0.1771958190004273,1.0213651000000041,success,,300,3,0.05,0.9,0.9,4.0,4.0,-0.003992015968063867,0.0033541200330272636
