dataset,model,mitigation,protected_attribute,n_seeds,positive_rate_proxy,mean_accuracy,sd_accuracy,mean_abs_spd,sd_abs_spd,mean_abs_eod,sd_abs_eod,mean_abs_aod,sd_abs_aod,mean_abs_di_violation,sd_abs_di_violation,mean_cfs_original,sd_cfs_original,mean_cfs_no_di,sd_cfs_no_di,mean_cfs_di_clipped,sd_cfs_di_clipped,mean_cfs_four_fifths,sd_cfs_four_fifths
adult,logistic_regression,equalized_odds,race,30,,0.8403142433082554,0.005068390949934329,0.04377482918392643,0.015506103110628089,0.04611622788978233,0.03452296828040168,0.024578954469312568,0.0155252695602988,0.23163254095175917,0.07697561492352313,0.08652563812369513,0.0222777149368547,0.03815667051434044,0.015521266734428024,0.08652563812369513,0.0222777149368547,0.041053659688222034,0.017615232340535133
adult,logistic_regression,equalized_odds,sex,30,,0.8240493372229898,0.004591232397813388,0.08619747571744787,0.013607356691153358,0.03473257684349979,0.026682805845766308,0.01816415022106901,0.013144142616736744,0.3946846429420225,0.04948260627236235,0.1334447114310098,0.016643147549378817,0.046364734260672225,0.013041527241359242,0.1334447114310098,0.016643147549378817,0.0834447114310098,0.016643147549378814
adult,logistic_regression,reweighing,age_group,30,,0.8499718511694557,0.003513914462392305,0.1627723148922498,0.007648275334273024,0.03731255354747255,0.023321335182289123,0.037658886210727584,0.01598041180219817,0.6569399212163064,0.021476815222582015,0.2236709189666891,0.014394511546361458,0.07924791821681665,0.013612730069233098,0.2236709189666891,0.014394511546361458,0.1736709189666891,0.014394511546361462
adult,logistic_regression,reweighing,race,30,,0.8489380213931111,0.0036407137947691622,0.0710799822599332,0.015135715446632619,0.0412794805149203,0.030074750537420578,0.025992238077633394,0.016229643384357804,0.35581600455673473,0.07183925788461451,0.12354192635230545,0.026523600673919918,0.04611723361749563,0.016750626965899088,0.12354192635230545,0.026523600673919918,0.0736882681311696,0.026281054437150415
adult,logistic_regression,reweighing,sex,30,,0.8456164593889146,0.004083169976025743,0.08346676510536905,0.010052297721810993,0.16133208941580382,0.030453358648001288,0.07531357058061051,0.016430693152665578,0.401198335064868,0.041757912632810035,0.18032769004166294,0.010017697227008565,0.10670414170059447,0.013472707708470038,0.18032769004166294,0.010017697227008565,0.1303276900416629,0.010017697227008565
adult,mlp,baseline,age_group,30,,0.8498848456932289,0.00356180302509684,0.178016055158619,0.016521246567016094,0.05971047960729003,0.027561382277059072,0.0568823791749274,0.016587730173511995,0.6715010589642006,0.020933138198605542,0.2415274932262593,0.016222669334901903,0.09820297131361215,0.017860392381225904,0.2415274932262593,0.016222669334901903,0.1915274932262593,0.016222669334901907
adult,mlp,baseline,race,30,,0.8498848456932289,0.00356180302509684,0.08356510007374825,0.014388454085621984,0.049766456245945015,0.039214311140697115,0.03689561195385124,0.021017614890124957,0.4046340898685,0.06590810180977602,0.14371531453551115,0.02973418803043814,0.05674238942451484,0.021910630691363356,0.14371531453551115,0.02973418803043814,0.09371531453551116,0.02973418803043814
adult,mlp,baseline,sex,30,,0.8498848456932289,0.00356180302509684,0.17194223179585402,0.017365450009628306,0.08406362673739062,0.0423046523329024,0.07587255686992932,0.02511962284445323,0.6840736150802623,0.035765993441172365,0.2539880076208591,0.026925192880042453,0.11062613846772464,0.025251646500184372,0.2539880076208591,0.026925192880042453,0.20398800762085917,0.026925192880042456
adult,mlp,equalized_odds,age_group,30,,0.8284661446338093,0.006142013039628974,0.1155016067011828,0.013429821217203626,0.03748380371490902,0.02488999091479609,0.01856356988447634,0.013127680369337421,0.46124731745935876,0.03993092834212624,0.15819907443998177,0.01608760837681305,0.057182993433522726,0.013415785154667724,0.15819907443998177,0.01608760837681305,0.10819907443998171,0.016087608376813053
adult,mlp,equalized_odds,race,30,,0.8412508316699936,0.0060081407504191135,0.047033034166236276,0.015925898438013304,0.05104776141788062,0.031404151182338774,0.025450600730377883,0.015801341351493442,0.2471089879570697,0.08475562256848854,0.0926600960678911,0.023367110393367137,0.0411771321048316,0.014181492363561598,0.0926600960678911,0.023367110393367137,0.04674735768204195,0.019003333867054262
adult,mlp,equalized_odds,sex,30,,0.8264547827422078,0.0061861590781607375,0.08915634094722188,0.01329931341072635,0.024856795096799455,0.018022047001637835,0.013359549997135066,0.008441528907246247,0.39494427429502577,0.04446322570762211,0.1305792400840456,0.014771964022146856,0.0424575620137188,0.009643693533948365,0.1305792400840456,0.014771964022146856,0.08057924008404556,0.014771964022146861
adult,mlp,reweighing,age_group,30,,0.8334356927171298,0.006043505722537165,0.16206415755550058,0.009965155711711568,0.0320956718844425,0.022867547684271787,0.04079093882434088,0.015363290576662435,0.6255381745592353,0.02287790231223914,0.21512223570587985,0.014166133059662257,0.0783169227547613,0.01408132771553086,0.21512223570587985,0.014166133059662257,0.1651222357058798,0.014166133059662259
adult,mlp,reweighing,race,30,,0.8355801218076666,0.005932683311045573,0.07454973952332518,0.014435435114323094,0.04156083963357845,0.033975021315977474,0.02861822034657132,0.019851438306061692,0.3483806598651136,0.055684660926339974,0.12327736484214714,0.02749806345782356,0.048242933167824985,0.020687234089305184,0.12327736484214714,0.02749806345782356,0.07327736484214714,0.02749806345782356
adult,mlp,reweighing,sex,30,,0.8316085777163621,0.004804322937737776,0.09557483820511153,0.01338932613184704,0.11703832387072009,0.031815771827505564,0.04691844715358285,0.01740057681647027,0.426493408275911,0.044247389018690665,0.17150625437633138,0.012677804034894645,0.08651053640980484,0.014919718181511454,0.17150625437633138,0.012677804034894645,0.12150625437633138,0.012677804034894647
