setting_id,dataset,protected_attribute,constraint,n_seeds,mean_accuracy,std_accuracy,mean_abs_spd,mean_abs_eod,mean_cfs,mean_runtime_seconds
adult_age_group,adult,age_group,DP,30,0.8183837453298531,0.004126339367751385,0.027512359482890318,0.031284989285761296,0.23697690674915448,9.884117736666669
adult_age_group,adult,age_group,EO,30,0.8656635447054609,0.0033271659413312707,0.1555598751816831,0.04255670655606483,0.13975346980832348,14.48023756333334
