dataset,dataset_label,protected_attribute,joint_feasible_all_seeds,mean_cfs_diff_protected_minus_target,mean_accuracy_diff_protected_minus_target,mean_abs_spd_diff_protected_minus_target,mean_abs_eod_diff_protected_minus_target,max_abs_cfs_diff_any_model,classification,cal_min_joint_cell_median,cal_min_joint_cell_p5,pct_seeds_joint_lt_10
acs_income_ca_2018,ACSIncome CA 2018,age_group,True,-0.0010361939447857391,0.00016000000000000015,-0.000961088657352644,-0.0010039522117499633,0.0022872156591798145,stable,1155.5,1131.0,0.0
acs_income_ca_2018,ACSIncome CA 2018,sex,True,0.0007763756884612086,-1.3333333333330379e-05,0.0003300579206531088,0.0013541679000185346,0.002147027927500807,stable,1637.0,1609.0,0.0
adult,Adult Income,age_group,True,0.0023816971003183173,0.00018117610931982057,0.0012750329600050888,0.0018703373217194563,0.006559715324336612,stable,246.0,230.0,0.0
adult,Adult Income,race,True,0.007319307171959813,0.0011218588464097408,0.003932863842327596,0.00587662694511012,0.01136719754894386,stable,145.0,126.0,0.0
adult,Adult Income,sex,True,0.004820054327149189,0.0005210092635242333,0.003108243206473637,0.010968943323080831,0.009251948567678725,stable,235.5,212.0,0.0
bank_uci,UCI Bank Marketing,age_group,True,-0.006229637473819667,-0.00022497369911791263,-0.0008503308620778284,-0.0011430315031594341,0.0118770394848915,stable,302.5,289.0,0.0
bank_uci,UCI Bank Marketing,job_group,True,0.007851893436019261,0.00037630492838067593,0.0012505585960406146,0.0018539391176072531,0.012159858493440544,stable,451.5,429.0,0.0
