model,condition_id,eo_protected_attribute,n_seeds,mean_accuracy,mean_f1,mean_marginal_abs_spd,mean_marginal_abs_eod,mean_subgroup_pr_gap,mean_subgroup_tpr_gap,mean_min_cell_n,min_cell_n_overall
logistic_regression,baseline,,30,0.8489124315471621,0.6497959394998266,0.16848619539363766,0.09598550525923139,0.20659310806961456,0.16633552711159844,424.7,395
logistic_regression,equalized_odds_race,race,30,0.8403142433082552,0.6212672250270601,0.15434384078239055,0.07918527759169065,0.16738617401136413,0.15659814779707376,424.7,395
logistic_regression,equalized_odds_sex,sex,30,0.8240493372229899,0.5906086411452601,0.08696409577263767,0.059896773528222,0.12400557988783185,0.13176138758109124,424.7,395
xgboost,baseline,,30,0.8677107323813911,0.6975590729281317,0.17524104981217517,0.09146647491574536,0.21369259112195232,0.16329158026210397,424.7,395
xgboost,equalized_odds_race,race,30,0.8585598034699832,0.6698857173726813,0.1614037491027727,0.08233747406367135,0.1776474163921043,0.15406457128215953,424.7,395
xgboost,equalized_odds_sex,sex,30,0.8429807052561544,0.6400026293409626,0.09978431546207128,0.057404127899402475,0.13582758119075142,0.13409365516708854,424.7,395
