analysis,dataset,evaluation_cells,model,condition_id,mitigation,eo_protected_attribute,eo_protected_column,seed,accuracy,f1,sex_abs_spd,sex_abs_eod,race_abs_spd,race_abs_eod,marginal_abs_spd,marginal_abs_eod,subgroup_pr_gap,subgroup_tpr_gap,subgroup_fpr_gap,n_cells,min_cell_n,cfs_sex,runtime_seconds,status,error
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,baseline,baseline,,,42,0.8475356978350991,0.6489925768822905,0.1719635925122615,0.07103051747014588,0.07386408083245846,0.06462497707683845,0.1719635925122615,0.07103051747014588,0.19517131866165682,0.16643304568750272,0.07736586235855686,4,414,0.25073890389215825,0.9025133000000007,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,baseline,baseline,,,43,0.8515277138031629,0.6569705569350834,0.15730082149751684,0.055893279297534626,0.06076643164118348,0.034684390208469584,0.15730082149751684,0.055893279297534626,0.19301113976411452,0.19577092511013217,0.0831139003334307,4,395,0.23031650634174822,0.6809648999999993,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,baseline,baseline,,,44,0.8518347919545525,0.6627053477804964,0.18458882382695618,0.14561550982114468,0.09574642993182472,0.028819444444444398,0.18458882382695618,0.14561550982114468,0.24126082654485817,0.1999064765022212,0.09680362962731573,4,418,0.28854713245801766,0.644540000000001,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,baseline,baseline,,,45,0.8464609243052357,0.6510816468946268,0.17485207284353613,0.09900821398145021,0.09300101607793916,0.13597851423938379,0.17485207284353613,0.13597851423938379,0.21678443984759946,0.26405379846590316,0.0775555622087163,4,412,0.2603548375863223,0.4993837999999986,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,baseline,baseline,,,46,0.8499923230462153,0.652930728241563,0.1781604583556533,0.10878357887344176,0.10504620855504573,0.05121527777777779,0.1781604583556533,0.10878357887344176,0.226126100196294,0.11400075404521937,0.09079195511356315,4,455,0.2718281043770553,0.49487910000000035,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,baseline,baseline,,,47,0.8476892369107938,0.6469750889679715,0.1717816918348256,0.06556968337073044,0.0840623937132753,0.02570965766548794,0.1717816918348256,0.06556968337073044,0.2138887410431254,0.12353741496598636,0.09003771228453444,4,421,0.25077555780151123,0.44783110000000015,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,baseline,baseline,,,48,0.8527560264087211,0.6648025166025864,0.17722156410726234,0.12761408754078857,0.07000890774856555,0.003766328281459952,0.17722156410726234,0.12761408754078857,0.20675607880738403,0.19878296146044627,0.06811885389107972,4,397,0.27265372249727954,0.7960542000000004,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,baseline,baseline,,,49,0.8446184553968985,0.6333333333333334,0.14098422450434822,0.042901371074745676,0.08883761250350579,0.12445865360633063,0.14098422450434822,0.12445865360633063,0.20699044909571226,0.3208469055374593,0.06954990291011606,4,399,0.21166414487125196,0.5248977000000004,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,baseline,baseline,,,50,0.8484569322892677,0.6518518518518519,0.17395010955543658,0.10088653360408106,0.07146646249962624,0.0201005025125629,0.17395010955543658,0.10088653360408106,0.20819190192870696,0.2222222222222222,0.085993651291296,4,435,0.2620110259223434,0.7390708000000004,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,baseline,baseline,,,51,0.855980346998311,0.6704146170063247,0.18096354042119023,0.09241335622718261,0.09099046726648628,0.03220245736291949,0.18096354042119023,0.09241335622718261,0.22172432647380452,0.10279146541770334,0.08367574045540148,4,420,0.2651023804802775,0.5323194000000004,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,baseline,baseline,,,52,0.8512206356517734,0.6557726465364122,0.17704418965105345,0.12441013358424935,0.07823465064137712,0.06715588467667422,0.17704418965105345,0.12441013358424935,0.21501263926598635,0.20316169828364955,0.07461075702808681,4,440,0.27618523377082904,0.7165187,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,baseline,baseline,,,53,0.8527560264087211,0.658354114713217,0.17351761720386105,0.13013877978528415,0.10598474143071616,0.08166283273085773,0.17351761720386105,0.13013877978528415,0.21546681944998008,0.19441034347655733,0.07965367965367964,4,416,0.27557802650663094,0.6237653999999999,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,baseline,baseline,,,54,0.8519883310302472,0.6529877609791218,0.1647374507128502,0.13436541414040337,0.07925122136086167,0.00023457658925640779,0.1647374507128502,0.13436541414040337,0.19215210076087283,0.14885526930575027,0.07256506943805757,4,452,0.2704219533478607,0.5687150999999986,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,baseline,baseline,,,55,0.8526024873330262,0.6549245147375989,0.1477199133662281,0.02650525181008989,0.08486401037384615,0.07570639936079038,0.1477199133662281,0.07570639936079038,0.1812160945824312,0.12221231043710973,0.07082235879426398,4,440,0.2095939660511008,0.5354536999999979,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,baseline,baseline,,,56,0.8412405957316137,0.6359154929577464,0.16844109456207845,0.09001512859304084,0.06275275546136375,0.011187927445733048,0.16844109456207845,0.09001512859304084,0.20686498692824426,0.10916179337231974,0.08870835672842972,4,438,0.25369332988470994,0.408359100000002,success,
