dataset,model,mitigation,protected_attribute,run_block,n_seeds,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_spd,std_spd,mean_di,std_di,mean_eod,std_eod,mean_aod,std_aod,mean_cfs,std_cfs,mean_acfs_balanced,std_acfs_balanced,mean_abs_spd,mean_abs_eod,mean_abs_aod
acs_income_ca_2018,gradient_boosting,baseline,age_group,optional_main_grid_extension,30,0.8033233333333333,0.003933558828525549,0.7680591991987525,0.005558260916423946,0.7464442279590844,0.006358418975802803,0.7570825420595438,0.00492779249777432,-0.20638303389595,0.006961841291105618,0.570459233621472,0.011986121456361753,-0.10616262259155132,0.013539682090479788,-0.0946718578824033,0.0063100105662802905,0.20918957018710815,0.008595824303500404,0.20918957018710818,0.008595824303500399,0.20638303389595,0.10616262259155132,0.0946718578824033
acs_income_ca_2018,gradient_boosting,baseline,sex,optional_main_grid_extension,30,0.8033233333333333,0.003933558828525549,0.7680591991987525,0.005558260916423946,0.7464442279590844,0.006358418975802803,0.7570825420595438,0.00492779249777432,-0.06185646496687549,0.011043993713886917,0.8558848714054953,0.023576784875936698,0.012440620599941443,0.009267864624326968,0.010093363243079806,0.007220371613063707,0.05743623362347779,0.006587250220667099,0.0574362336234778,0.0065872502206671,0.06185646496687549,0.013172683574893769,0.010600657357637289
acs_income_ca_2018,gradient_boosting,equalized_odds,age_group,optional_main_grid_extension,30,0.77057,0.004863527171891206,0.7326630477043526,0.006847958307871424,0.6948449423607728,0.011765981621980467,0.713190510553816,0.007131270327556761,-0.10638222740504653,0.009601627988252063,0.753521811840281,0.019983074592345117,-0.00397037711223029,0.020001643645755865,-0.0025935063347568036,0.0101444055109372,0.09417101419624395,0.009382193095898862,0.09417101419624398,0.009382193095898864,0.10638222740504653,0.01536215896576761,0.008461482254442883
acs_income_ca_2018,gradient_boosting,equalized_odds,sex,optional_main_grid_extension,30,0.7995133333333333,0.004502622479778023,0.763317981035493,0.006612666818890705,0.7417762623802564,0.007657371965859304,0.7523675121613114,0.0056469186477859255,-0.07038595418751342,0.013214495226944992,0.8375924190186949,0.027978913787599095,0.0010095576567640875,0.01351586816042211,0.00016558672937896658,0.009449373444005996,0.06254122911739499,0.010636035387852781,0.06254122911739499,0.010636035387852776,0.07038595418751342,0.01018467710629481,0.00718670419446668
acs_income_ca_2018,gradient_boosting,reweighing,age_group,optional_main_grid_extension,30,0.8030266666666666,0.00408427880210611,0.7699715353469221,0.005834551293727767,0.7419710992044163,0.006062808026021978,0.7556992185455677,0.005055162257008623,-0.19386989919683753,0.008212650127970898,0.5894202133255185,0.015014198523066834,-0.0866957108516131,0.013240717724444774,-0.0805317253045361,0.007454873234390723,0.19291928050686705,0.010108666423760645,0.19291928050686705,0.010108666423760638,0.19386989919683753,0.0866957108516131,0.0805317253045361
acs_income_ca_2018,gradient_boosting,reweighing,sex,optional_main_grid_extension,30,0.8027299999999999,0.003603078185911748,0.7683544771720998,0.004997414429885327,0.7438301672349408,0.006078424431322559,0.7558805680302231,0.004601303285844877,-0.04349925433736347,0.011014591719262504,0.8962815901445332,0.024770213815900218,0.03447358689879495,0.010500451554537679,0.02910428723369634,0.007176634731598884,0.052698884581330346,0.00635780393308693,0.05269888458133037,0.006357803933086925,0.04349925433736347,0.03447358689879495,0.02910428723369634
acs_income_ca_2018,logistic_regression,ExponentiatedGradient_DP,age_group,required,30,0.6947266666666665,0.0052137043111091545,0.6289425087035685,0.006833300932173378,0.6257265789900958,0.007450988836613953,0.62731181711414,0.006258609399854401,-0.01885359833561306,0.010410133947924501,0.954976291594031,0.024510827260974314,0.010649421734747913,0.016006674958207318,0.04727170614753593,0.010360083491062806,0.03189225623761217,0.005374722423323447,0.03189225623761217,0.005374722423323449,0.019032158204417407,0.015800414354544327,0.04727170614753593
acs_income_ca_2018,logistic_regression,ExponentiatedGradient_DP,sex,required,30,0.7701199999999999,0.004397052304159832,0.7301561332642642,0.0065506344867708585,0.6982221139795421,0.0057663135199615065,0.7138179206320889,0.005231134663660725,-0.017555293817882296,0.011967747103340705,0.9566439615083461,0.029179316402599846,0.04784539257368034,0.011971924520868168,0.0461905983740831,0.008945169874966187,0.0392237439961843,0.006750382464547286,0.03922374399618432,0.006750382464547286,0.018099194661200482,0.04784539257368034,0.0461905983740831
acs_income_ca_2018,logistic_regression,ExponentiatedGradient_EO,age_group,required,30,0.7375500000000001,0.004703538653191763,0.7093095046144698,0.007817512355083158,0.6116009092385127,0.013792873022498297,0.6567279446092898,0.008043461630802436,-0.10263228100123098,0.011154713686790892,0.7400079014571463,0.026074091543086965,-0.015482780787072532,0.018078278177032607,-0.015340050000283312,0.010792145623567869,0.09958250745996206,0.013282959907896299,0.09958250745996206,0.013282959907896304,0.10263228100123098,0.019457596945619604,0.01624805335014404
acs_income_ca_2018,logistic_regression,ExponentiatedGradient_EO,sex,required,30,0.7708166666666667,0.0046885835912303005,0.7302274347750494,0.007930184152531272,0.700901120311739,0.00992969153546681,0.7152011661752808,0.006016852138123206,-0.04657422174676409,0.011726700090381816,0.8885862680172033,0.025634328970626525,0.011116481353337959,0.012263709722889855,0.015742024952204076,0.009090062176520346,0.04686356109292516,0.006749277673118336,0.04686356109292515,0.00674927767311833,0.04657422174676409,0.013629997357513525,0.01583629328462648
acs_income_ca_2018,logistic_regression,baseline,age_group,required,30,0.7706633333333333,0.004539518684294347,0.7316431900900254,0.006779118070700709,0.6972479298587432,0.006144444301517752,0.7140152832606751,0.005451218016704628,-0.21793521359668194,0.007674360551850227,0.5434086380102685,0.012689332850635162,-0.13839808456770203,0.013023572059285518,-0.12264526270875588,0.008503331458639593,0.23389248071571783,0.009663059429329627,0.23389248071571786,0.00966305942932963,0.21793521359668194,0.13839808456770203,0.12264526270875588
acs_income_ca_2018,logistic_regression,baseline,sex,required,30,0.7706633333333333,0.004539518684294347,0.7316431900900254,0.006779118070700709,0.6972479298587432,0.006144444301517752,0.7140152832606751,0.005451218016704628,-0.02309139025985512,0.009853749218752208,0.9429081071628284,0.023690795352545247,0.04038249820837996,0.010544401260312546,0.040337571400671804,0.006885647054617147,0.040225838176519695,0.006590100525875316,0.040225838176519695,0.0065901005258753136,0.02309139025985512,0.04038249820837996,0.040337571400671804
acs_income_ca_2018,logistic_regression,equalized_odds,age_group,required,30,0.7337500000000001,0.005771496548885149,0.6916335989167993,0.00827615940129982,0.6345591816853385,0.011613279564501046,0.6618087156704731,0.008133921557640797,-0.08875157857431278,0.009432330976039105,0.7846204902858339,0.02093379433721198,-0.002238455314406974,0.01737020590548907,-0.0010824642664968498,0.010199979995020633,0.0814605569359347,0.0072736158065097945,0.08146055693593471,0.007273615806509804,0.08875157857431278,0.014114756631162111,0.007596382824097836
acs_income_ca_2018,logistic_regression,equalized_odds,sex,required,30,0.7619866666666666,0.005217195265349155,0.7166009693234209,0.009114329798023766,0.6955918168533852,0.008556167662286772,0.7058789154483757,0.005789175723976523,-0.058781250398441336,0.01319468876572928,0.8626291860189027,0.02882078346588224,0.0057583036006202595,0.01569579352165962,0.002802311807825691,0.011249226725575346,0.05428635459584064,0.00953291210877336,0.05428635459584064,0.00953291210877337,0.058781250398441336,0.012821618382758214,0.008171735621065598
acs_income_ca_2018,logistic_regression,reweighing,age_group,required,30,0.7724333333333334,0.004646714325519535,0.7350639564665546,0.006865422205773886,0.6970449748335769,0.005821940614850652,0.7155371575252469,0.005551850537418988,-0.20652762731220203,0.007480155073334281,0.5613913057065331,0.01316624128614636,-0.12596084861579132,0.013563336460164131,-0.11016123901239074,0.008242644982098498,0.22031460230846273,0.009624995525863886,0.22031460230846275,0.009624995525863883,0.20652762731220203,0.12596084861579132,0.11016123901239074
acs_income_ca_2018,logistic_regression,reweighing,sex,required,30,0.7704433333333333,0.00471853888353189,0.7302400552491791,0.007097925705092709,0.6993099529144343,0.005766715503607619,0.7144254874003143,0.0055137342612255865,-0.017872451246590253,0.009674523352690579,0.9558068964871089,0.023510595182165073,0.04715295301678772,0.010945422047835576,0.04590593741530004,0.006934229951011472,0.038868764737528747,0.0064477887593712944,0.03886876473752875,0.006447788759371284,0.01797084407804307,0.04715295301678772,0.04590593741530004
acs_income_ca_2018,mlp,baseline,age_group,optional_main_grid_extension,30,0.7886466666666666,0.0043321359972709255,0.7517121980083097,0.010579628542571608,0.7252232505276829,0.019512182002089155,0.7379720343040977,0.0076510801000504395,-0.20468432436161385,0.011203858654793812,0.5708698018668354,0.017850460647599656,-0.10174905981363834,0.016559955872725858,-0.09743665972715407,0.0101792982602667,0.20825006050889266,0.012511559884837957,0.2082500605088927,0.012511559884837957,0.20468432436161385,0.10174905981363834,0.09743665972715407
acs_income_ca_2018,mlp,baseline,sex,optional_main_grid_extension,30,0.7886466666666666,0.0043321359972709255,0.7517121980083097,0.010579628542571608,0.7252232505276829,0.019512182002089155,0.7379720343040977,0.0076510801000504395,-0.05085542515993144,0.012066835989847024,0.879370166648796,0.026044005245279476,0.015578789058535545,0.012137829748586855,0.016730915670036015,0.008844633512603492,0.051776401877058925,0.00800530339228465,0.051776401877058946,0.008005303392284639,0.05085542515993144,0.018082348824022355,0.017538000173077845
acs_income_ca_2018,mlp,equalized_odds,age_group,optional_main_grid_extension,30,0.7555133333333335,0.006222081552870759,0.7075512901665297,0.010122367795539908,0.6902419223899984,0.023501069959945057,0.6984882014438288,0.011123413382930535,-0.10079398587349046,0.010305913494041695,0.7712277149887034,0.020249966227498868,-0.0002989882013158597,0.021264682380926492,-0.0016243410058334035,0.011339025093059724,0.08919062322521719,0.00857557203221259,0.08919062322521717,0.0085755720322126,0.10079398587349046,0.017815660698912484,0.009380561317169323
acs_income_ca_2018,mlp,equalized_odds,sex,optional_main_grid_extension,30,0.7836499999999998,0.005316581089643857,0.740042133904031,0.010949568024604579,0.7298506251014777,0.0172867028907934,0.7347060455240952,0.007530097628570244,-0.06476468990157107,0.011934503747845274,0.8517157781438033,0.02446540195863404,0.002158380998387282,0.011552890629695268,0.0019981954879245917,0.008224831830446542,0.05710506846737388,0.00905948680633893,0.05710506846737388,0.00905948680633893,0.06476468990157107,0.009029888067121157,0.006341474044606521
acs_income_ca_2018,mlp,reweighing,age_group,optional_main_grid_extension,30,0.7860766666666666,0.0048026345739161464,0.7488405378635576,0.0134745712990184,0.7218704335119338,0.025363647728328644,0.7346558286173351,0.009252981068375342,-0.1923391028982298,0.0078467964875866,0.5919421511117849,0.019584453544529354,-0.08415941478283973,0.019574475978671717,-0.08441530662366478,0.008826797697881287,0.1922429182982373,0.012202704891331809,0.1922429182982373,0.012202704891331809,0.1923391028982298,0.08415941478283973,0.08441530662366478
acs_income_ca_2018,mlp,reweighing,sex,optional_main_grid_extension,30,0.7863533333333331,0.0043896220348904075,0.7430505624964623,0.012031697174376535,0.734096444227959,0.01953551397225738,0.7382559324150492,0.006594428964341483,-0.03787608981710055,0.012656706660520255,0.9108909026071459,0.029185966168046338,0.03361738522696031,0.010954386061875862,0.030577413035280117,0.008821026090236977,0.04779499636804881,0.007505136262150892,0.04779499636804882,0.0075051362621509,0.03787608981710055,0.03361738522696031,0.030577413035280117
acs_income_ca_2018,random_forest,baseline,age_group,required,30,0.7837299999999998,0.0038075378957518227,0.7419614596451592,0.005137738030735804,0.7256941061860691,0.0075256824050612585,0.7337159732284694,0.005051287252071089,-0.19633473180264707,0.008217758598795947,0.5902204914220481,0.013520698427511857,-0.08628048653412705,0.01345603053095321,-0.08858678874553977,0.008609754144506394,0.1952453789150665,0.010045231232654545,0.19524537891506652,0.01004523123265455,0.19633473180264707,0.08628048653412705,0.08858678874553977
acs_income_ca_2018,random_forest,baseline,sex,required,30,0.7837299999999998,0.0038075378957518227,0.7419614596451592,0.005137738030735804,0.7256941061860691,0.0075256824050612585,0.7337159732284694,0.005051287252071089,-0.0730788900137007,0.009197784650764195,0.8326450839466718,0.018794776135684647,-0.004293136372861888,0.011173089778612425,-0.006231898926690274,0.006715805534492658,0.06462963567471702,0.007996962304990028,0.06462963567471705,0.007996962304990026,0.0730788900137007,0.010064371252593823,0.00802036537924558
acs_income_ca_2018,random_forest,equalized_odds,age_group,required,30,0.7539933333333335,0.005323593117262141,0.7034173898970819,0.008218504498877045,0.6933674297775613,0.01353780011034418,0.6982575919683786,0.007444494122042311,-0.10104883898802666,0.013225776219554324,0.7731009744346793,0.026113947488377465,-0.006043955502355771,0.020554693251409992,-0.0033833567968431567,0.013478501826269963,0.08900795791356204,0.011736090043620206,0.08900795791356204,0.011736090043620213,0.10104883898802666,0.017237589417245524,0.010846377683655187
acs_income_ca_2018,random_forest,equalized_odds,sex,required,30,0.7787733333333334,0.0052984664881866326,0.7355764668987758,0.00753271225649602,0.7201737295015426,0.009521949194169045,0.7277537176890275,0.006688039042306684,-0.06384704916481353,0.013312627125704931,0.852597117377641,0.0289133885163111,0.002726008298738327,0.016319448795675533,0.0016997205927843533,0.009970344801134066,0.05819116950868745,0.010905804416805723,0.05819116950868746,0.010905804416805727,0.06384704916481353,0.013221554029177103,0.008293192218400147
acs_income_ca_2018,random_forest,reweighing,age_group,required,30,0.7837399999999999,0.004058418241222761,0.7420663701667871,0.005652634891115442,0.7255236239649293,0.006774753255352246,0.733684448874523,0.005102795126650048,-0.1938510286552565,0.008405224991730348,0.59446150909402,0.013868760972819994,-0.08381301448721033,0.013226083292214568,-0.08603272852243785,0.008763747484275249,0.19230881564272118,0.010237467843846562,0.19230881564272118,0.010237467843846564,0.1938510286552565,0.08381301448721033,0.08603272852243785
