dataset,dataset_label,model,age_coding,privileged_count,unprivileged_count,mean_abs_spd,sd_abs_spd,mean_abs_eod,sd_abs_eod,mean_abs_aod,sd_abs_aod,mean_cfs,sd_cfs,mean_accuracy
acs_income_ca_2018,ACSIncome CA 2018,logistic_regression,middle_vs_rest,30247,19752,0.21793521359668197,0.007674360551850217,0.13839808456770206,0.01302357205928552,0.1226452627087559,0.008503331458639591,[0.23389248],0.009663059429329634,0.7706633333333333
acs_income_ca_2018,ACSIncome CA 2018,logistic_regression,young_vs_rest,37040,12959,0.29308656146660816,0.008641625840231197,0.14978057519139015,0.01948431936702403,0.13737208561164357,0.011823654066483476,[0.30189337],0.012840040818911855,0.7706633333333333
acs_income_ca_2018,ACSIncome CA 2018,logistic_regression,older_vs_rest,43206,6793,0.0357236382345446,0.014334799356022153,0.09718128308134547,0.01757146553481025,0.03600400608275707,0.012155898031495666,[0.06539815],0.007508379256636232,0.7706633333333333
acs_income_ca_2018,ACSIncome CA 2018,random_forest,middle_vs_rest,30247,19752,0.1963347318026471,0.008217758598795952,0.0862804865341271,0.013456030530953208,0.0885867887455398,0.008609754144506383,[0.19524538],0.010045231232654552,0.7837299999999998
acs_income_ca_2018,ACSIncome CA 2018,random_forest,young_vs_rest,37040,12959,0.27809040759497283,0.008603324941156808,0.0785495511607607,0.019643352183806705,0.09376931130473563,0.011732456659386265,[0.25939115],0.012379650744714348,0.7837299999999998
acs_income_ca_2018,ACSIncome CA 2018,random_forest,older_vs_rest,43206,6793,0.05518500481829033,0.011846434163969228,0.06997032120754659,0.016004596607193097,0.02105398142904185,0.009140851108655793,[0.07160477],0.006620051883375584,0.7837299999999998
acs_income_ca_2018,ACSIncome CA 2018,gradient_boosting,middle_vs_rest,30247,19752,0.20638303389595009,0.006961841291105627,0.10616262259155138,0.0135396820904798,0.09467185788240333,0.0063100105662802835,[0.20918957],0.008595824303500399,0.8033233333333333
acs_income_ca_2018,ACSIncome CA 2018,gradient_boosting,young_vs_rest,37040,12959,0.28613362821500055,0.007903524276155168,0.07897862686815513,0.01950836404299202,0.09026544356899349,0.011108406939974095,[0.26503364],0.011959134109602922,0.8033233333333333
acs_income_ca_2018,ACSIncome CA 2018,gradient_boosting,older_vs_rest,43206,6793,0.04788227361521196,0.011794633705663539,0.09724131687619456,0.018417501172461815,0.03361484089723985,0.00936679878891425,[0.075219],0.006569077297019492,0.8033233333333333
acs_income_ca_2018,ACSIncome CA 2018,xgboost,middle_vs_rest,30247,19752,0.20937613199244026,0.007343978133347569,0.10340403160633013,0.013728136494733775,0.09234683060821824,0.007976622223237584,[0.20818982],0.009407156877245788,0.81414
acs_income_ca_2018,ACSIncome CA 2018,xgboost,young_vs_rest,37040,12959,0.2947417907907694,0.007930142666641616,0.08595387079039099,0.019171212791967936,0.09287722241650416,0.011104206925386375,[0.27085143],0.012253020566100682,0.81414
acs_income_ca_2018,ACSIncome CA 2018,xgboost,older_vs_rest,43206,6793,0.05587822496892816,0.009454931498427596,0.08901248038569771,0.015215543246357176,0.029239140941436526,0.008210912423049322,[0.07853333],0.005966389874088858,0.81414
