dataset,dataset_label,model,age_coding,n_seeds,n_rows_mean,accuracy_mean,accuracy_sd,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,spd_mean,spd_sd,di_mean,di_sd,eod_mean,eod_sd,aod_mean,aod_sd,cfs_mean,cfs_sd,abs_spd_mean,abs_spd_sd,abs_eod_mean,abs_eod_sd,abs_aod_mean,abs_aod_sd,abs_di_violation_mean,abs_di_violation_sd
acs_income_ca_2018,ACSIncome CA 2018,gradient_boosting,middle_vs_rest,30,49999.0,0.8033233333333333,0.003933558828525549,0.7680591991987525,0.005558260916423946,0.7464442279590844,0.006358418975802803,0.7570825420595438,0.00492779249777432,-0.20638303389595009,0.006961841291105627,0.570459233621472,0.011986121456361753,-0.10616262259155138,0.0135396820904798,-0.09467185788240333,0.0063100105662802835,[0.20918957],0.008595824303500399,0.20638303389595009,0.006961841291105627,0.10616262259155138,0.0135396820904798,0.09467185788240333,0.0063100105662802835,0.429540766378528,0.011986121456361753
acs_income_ca_2018,ACSIncome CA 2018,gradient_boosting,older_vs_rest,30,49999.0,0.8033233333333333,0.003933558828525549,0.7680591991987525,0.005558260916423946,0.7464442279590844,0.006358418975802803,0.7570825420595438,0.00492779249777432,0.04788227361521196,0.011794633705663539,1.1221375836634748,0.03059213328444535,-0.09724131687619456,0.018417501172461815,-0.03361484089723985,0.00936679878891425,[0.075219],0.006569077297019492,0.04788227361521196,0.011794633705663539,0.09724131687619456,0.018417501172461815,0.03361484089723985,0.00936679878891425,0.12213758366347491,0.03059213328444535
acs_income_ca_2018,ACSIncome CA 2018,gradient_boosting,young_vs_rest,30,49999.0,0.8033233333333333,0.003933558828525549,0.7680591991987525,0.005558260916423946,0.7464442279590844,0.006358418975802803,0.7570825420595438,0.00492779249777432,-0.28613362821500055,0.007903524276155168,0.3952431408560301,0.014474187956361587,-0.07897862686815513,0.01950836404299202,-0.09026544356899349,0.011108406939974095,[0.26503364],0.011959134109602922,0.28613362821500055,0.007903524276155168,0.07897862686815513,0.01950836404299202,0.09026544356899349,0.011108406939974095,0.6047568591439699,0.014474187956361597
acs_income_ca_2018,ACSIncome CA 2018,logistic_regression,middle_vs_rest,30,49999.0,0.7706633333333333,0.004539518684294347,0.7316431900900254,0.006779118070700709,0.6972479298587432,0.006144444301517752,0.7140152832606751,0.005451218016704628,-0.21793521359668197,0.007674360551850217,0.5434086380102685,0.012689332850635162,-0.13839808456770206,0.01302357205928552,-0.1226452627087559,0.008503331458639591,[0.23389248],0.009663059429329634,0.21793521359668197,0.007674360551850217,0.13839808456770206,0.01302357205928552,0.1226452627087559,0.008503331458639591,0.45659136198973144,0.012689332850635162
acs_income_ca_2018,ACSIncome CA 2018,logistic_regression,older_vs_rest,30,49999.0,0.7706633333333333,0.004539518684294347,0.7316431900900254,0.006779118070700709,0.6972479298587432,0.006144444301517752,0.7140152832606751,0.005451218016704628,0.0357236382345446,0.014334799356022153,1.09268366915663,0.03763766976208646,-0.09718128308134547,0.01757146553481025,-0.03600400608275707,0.012155898031495666,[0.06539815],0.007508379256636232,0.0357236382345446,0.014334799356022153,0.09718128308134547,0.01757146553481025,0.03600400608275707,0.012155898031495666,0.09268366915663015,0.037637669762086455
acs_income_ca_2018,ACSIncome CA 2018,logistic_regression,young_vs_rest,30,49999.0,0.7706633333333333,0.004539518684294347,0.7316431900900254,0.006779118070700709,0.6972479298587432,0.006144444301517752,0.7140152832606751,0.005451218016704628,-0.29308656146660816,0.008641625840231197,0.37266576210284136,0.016209011592459507,-0.14978057519139015,0.01948431936702403,-0.13737208561164357,0.011823654066483476,[0.30189337],0.012840040818911855,0.29308656146660816,0.008641625840231197,0.14978057519139015,0.01948431936702403,0.13737208561164357,0.011823654066483476,0.6273342378971587,0.01620901159245951
acs_income_ca_2018,ACSIncome CA 2018,mlp,middle_vs_rest,30,49999.0,0.7886466666666666,0.0043321359972709255,0.7517121980083097,0.010579628542571608,0.7252232505276829,0.019512182002089155,0.7379720343040977,0.0076510801000504395,-0.20468432436161388,0.01120385865479381,0.5708698018668354,0.017850460647599656,-0.10174905981363837,0.016559955872725858,-0.09743665972715411,0.010179298260266692,[0.20825006],0.012511559884837953,0.20468432436161388,0.01120385865479381,0.10174905981363837,0.016559955872725858,0.09743665972715411,0.010179298260266692,0.4291301981331645,0.017850460647599656
acs_income_ca_2018,ACSIncome CA 2018,mlp,older_vs_rest,30,49999.0,0.7886466666666666,0.0043321359972709255,0.7517121980083097,0.010579628542571608,0.7252232505276829,0.019512182002089155,0.7379720343040977,0.0076510801000504395,0.053933539555165624,0.019575450979337803,1.138843521642809,0.050897448120970835,-0.07838518486834746,0.02725406778579367,-0.023298530265752723,0.01804500235680005,[0.07418711],0.008623905928326956,0.053933539555165624,0.019575450979337803,0.07838518486834746,0.02725406778579367,0.025586201621392895,0.014489086458505622,0.13884352164280875,0.050897448120970835
acs_income_ca_2018,ACSIncome CA 2018,mlp,young_vs_rest,30,49999.0,0.7886466666666666,0.0043321359972709255,0.7517121980083097,0.010579628542571608,0.7252232505276829,0.019512182002089155,0.7379720343040977,0.0076510801000504395,-0.2876962710838497,0.01575417606974032,0.3888931595270949,0.024068651429354875,-0.09930898306180902,0.027230033572238833,-0.10612643917992101,0.017926034237931723,[0.27605963],0.01973850259806676,0.2876962710838497,0.01575417606974032,0.09930898306180902,0.027230033572238833,0.10612643917992101,0.017926034237931723,0.6111068404729051,0.024068651429354878
acs_income_ca_2018,ACSIncome CA 2018,random_forest,middle_vs_rest,30,49999.0,0.7837299999999998,0.0038075378957518227,0.7419614596451592,0.005137738030735804,0.7256941061860691,0.0075256824050612585,0.7337159732284694,0.005051287252071089,-0.1963347318026471,0.008217758598795952,0.5902204914220481,0.013520698427511857,-0.0862804865341271,0.013456030530953208,-0.0885867887455398,0.008609754144506383,[0.19524538],0.010045231232654552,0.1963347318026471,0.008217758598795952,0.0862804865341271,0.013456030530953208,0.0885867887455398,0.008609754144506383,0.409779508577952,0.013520698427511855
