dataset,dataset_label,protected_attribute,orig_model,orig_mitigation,orig_model_display,orig_mitigation_display,di_clipped_model,di_clipped_mitigation,di_clipped_model_display,di_clipped_mitigation_display,four_fifths_model,four_fifths_mitigation,four_fifths_model_display,four_fifths_mitigation_display,selection_changed,di_clipped_changed,four_fifths_changed,interpretation,orig_mean_acfs,di_clipped_mean_acfs,four_fifths_mean_acfs
acs_income_ca_2018,ACSIncome (CA 2018),age_group,random_forest,equalized_odds,Random Forest,Equalized Odds,random_forest,equalized_odds,Random Forest,Equalized Odds,random_forest,equalized_odds,Random Forest,Equalized Odds,no,no,no,Stable under DI-scaled composites.,0.08900795791356204,0.08900795791356204,0.039624717601247424
acs_income_ca_2018,ACSIncome (CA 2018),sex,logistic_regression,reweighing,Logistic Regression,Reweighing,logistic_regression,reweighing,Logistic Regression,Reweighing,logistic_regression,ExponentiatedGradient_EO,Logistic Regression,EG (EO),yes,no,yes,four-fifths composite shifts selection.,0.03886876473752875,0.03886876473752875,0.019010128097226024
adult,Adult,age_group,random_forest,equalized_odds,Random Forest,Equalized Odds,random_forest,equalized_odds,Random Forest,Equalized Odds,random_forest,equalized_odds,Random Forest,Equalized Odds,no,no,no,Stable under DI-scaled composites.,0.15283315654617458,0.15283315654617458,0.10283315654617461
adult,Adult,race,logistic_regression,ExponentiatedGradient_DP,Logistic Regression,EG (DP),logistic_regression,ExponentiatedGradient_DP,Logistic Regression,EG (DP),logistic_regression,ExponentiatedGradient_DP,Logistic Regression,EG (DP),no,no,no,Stable under DI-scaled composites.,0.05889752220512888,0.05889752220512888,0.03399095998145507
adult,Adult,sex,random_forest,ExponentiatedGradient_DP,Random Forest,EG (DP),random_forest,ExponentiatedGradient_DP,Random Forest,EG (DP),random_forest,equalized_odds,Random Forest,Equalized Odds,yes,no,yes,four-fifths composite shifts selection.,0.12142281704262256,0.12142281704262256,0.08020291772247487
bank_uci,UCI Bank,age_group,random_forest,equalized_odds,Random Forest,Equalized Odds,random_forest,equalized_odds,Random Forest,Equalized Odds,random_forest,equalized_odds,Random Forest,Equalized Odds,no,no,no,Stable; RF+EO under all three composites.,0.08364719791677416,0.08364719791677416,0.029944365427766417
bank_uci,UCI Bank,job_group,random_forest,equalized_odds,Random Forest,Equalized Odds,random_forest,equalized_odds,Random Forest,Equalized Odds,mlp,equalized_odds,MLP,Equalized Odds,yes,no,yes,four-fifths composite shifts selection.,0.0278840245661758,0.0278840245661758,0.010472140352282555
